User_ID,NFC_ID,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,FSR_Left,FSR_Right,FSR_Back,Limit_Back_Up,Limit_Back_Down,Limit_Left,Limit_Right,Posture_Class,AccX_filt,AccY_filt,AccZ_filt,GyroX_filt,GyroY_filt,GyroZ_filt
U01,NFC01,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.3,-1.0,0.15,5.0,3.0,2.0
U01,NFC01,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.29000000000000004,-0.985,0.16999999999999998,5.4,3.3,2.25
U01,NFC01,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.28,-0.9700000000000001,0.19000000000000003,5.8,3.6,2.5
U01,NFC01,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.27,-0.955,0.21000000000000002,6.2,3.9000000000000004,2.75
U01,NFC01,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U01,NFC01,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U01,NFC01,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.21999999999999997,-0.8800000000000001,0.31,8.2,5.4,4.0
U01,NFC01,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
U01,NFC01,0.14,-0.76,0.47,11.4,7.8,6.0,2140,1020,2200,1,0,0,0,0,0.18,-0.82,0.39,9.8,6.6,5.0
U01,NFC01,0.12,-0.73,0.51,12.2,8.4,6.5,2220,960,2300,1,0,0,0,1,0.16,-0.79,0.43,10.6,7.2,5.5
U02,NFC02,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.18,-0.82,0.38999999999999996,9.8,6.6,5.0
U02,NFC02,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.2,-0.85,0.35,9.0,6.0,4.5
U02,NFC02,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.22000000000000003,-0.8799999999999999,0.31,8.2,5.4,4.0
U02,NFC02,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U02,NFC02,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U02,NFC02,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U02,NFC02,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.22000000000000003,-0.8800000000000001,0.31,8.2,5.4,4.0
U02,NFC02,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
U02,NFC02,0.14,-0.76,0.47,11.4,7.8,6.0,2140,1020,2200,1,0,0,0,0,0.18,-0.82,0.39,9.8,6.6,5.0
U02,NFC02,0.12,-0.73,0.51,12.2,8.4,6.5,2220,960,2300,1,0,0,0,1,0.16,-0.79,0.43,10.6,7.2,5.5
U03,NFC03,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.18,-0.82,0.38999999999999996,9.8,6.6,5.0
U03,NFC03,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.2,-0.85,0.35,9.0,6.0,4.5
U03,NFC03,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.22000000000000003,-0.8799999999999999,0.31,8.2,5.4,4.0
U03,NFC03,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U03,NFC03,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U03,NFC03,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24000000000000005,-0.9099999999999999,0.27,7.4,4.8,3.5
U03,NFC03,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.22000000000000003,-0.8800000000000001,0.31,8.2,5.4,4.0
U03,NFC03,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
U03,NFC03,0.14,-0.76,0.47,11.4,7.8,6.0,2140,1020,2200,1,0,0,0,0,0.18000000000000002,-0.82,0.39,9.8,6.6,5.0
U03,NFC03,0.12,-0.73,0.51,12.2,8.4,6.5,2220,960,2300,1,0,0,0,1,0.16,-0.79,0.43,10.6,7.2,5.5
U04,NFC04,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.18,-0.82,0.38999999999999996,9.8,6.6,5.0
U04,NFC04,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.2,-0.85,0.35,9.0,6.0,4.5
U04,NFC04,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.22000000000000003,-0.8799999999999999,0.31,8.2,5.4,4.0
U04,NFC04,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U04,NFC04,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U04,NFC04,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U04,NFC04,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.22000000000000003,-0.8800000000000001,0.31,8.2,5.4,4.0
U04,NFC04,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
U04,NFC04,0.14,-0.76,0.47,11.4,7.8,6.0,2140,1020,2200,1,0,0,0,0,0.18,-0.82,0.39,9.8,6.6,5.0
U04,NFC04,0.12,-0.73,0.51,12.2,8.4,6.5,2220,960,2300,1,0,0,0,1,0.16,-0.79,0.43,10.6,7.2,5.5
U05,NFC05,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.18,-0.82,0.38999999999999996,9.8,6.6,5.0
U05,NFC05,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.2,-0.85,0.35,9.0,6.0,4.5
U05,NFC05,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.22000000000000003,-0.8799999999999999,0.31,8.2,5.4,4.0
U05,NFC05,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U05,NFC05,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U05,NFC05,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24000000000000005,-0.9099999999999999,0.27,7.4,4.8,3.5
U05,NFC05,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.22000000000000003,-0.8800000000000001,0.31,8.2,5.4,4.0
U05,NFC05,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
U05,NFC05,0.14,-0.76,0.47,11.4,7.8,6.0,2140,1020,2200,1,0,0,0,0,0.18000000000000002,-0.82,0.39,9.8,6.6,5.0
U05,NFC05,0.12,-0.73,0.51,12.2,8.4,6.5,2220,960,2300,1,0,0,0,1,0.16,-0.79,0.43,10.6,7.2,5.5
U06,NFC06,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.18,-0.82,0.38999999999999996,9.8,6.6,5.0
U06,NFC06,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.2,-0.85,0.35,9.0,6.0,4.5
U06,NFC06,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.22000000000000003,-0.8799999999999999,0.31,8.2,5.4,4.0
U06,NFC06,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U06,NFC06,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U06,NFC06,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U06,NFC06,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.22000000000000003,-0.8800000000000001,0.31,8.2,5.4,4.0
U06,NFC06,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
U06,NFC06,0.14,-0.76,0.47,11.4,7.8,6.0,2140,1020,2200,1,0,0,0,0,0.18,-0.82,0.39,9.8,6.6,5.0
U06,NFC06,0.12,-0.73,0.51,12.2,8.4,6.5,2220,960,2300,1,0,0,0,1,0.16,-0.79,0.43,10.6,7.2,5.5
U07,NFC07,0.3,-1.0,0.15,5.0,3.0,2.0,1500,1500,1400,0,1,0,0,0,0.18,-0.82,0.38999999999999996,9.8,6.6,5.0
U07,NFC07,0.28,-0.97,0.19,5.8,3.6,2.5,1580,1440,1500,0,1,0,0,1,0.2,-0.85,0.35,9.0,6.0,4.5
U07,NFC07,0.26,-0.94,0.23,6.6,4.2,3.0,1660,1380,1600,0,0,0,0,2,0.22000000000000003,-0.8799999999999999,0.31,8.2,5.4,4.0
U07,NFC07,0.24,-0.91,0.27,7.4,4.8,3.5,1740,1320,1700,0,0,0,0,3,0.24,-0.9099999999999999,0.27,7.4,4.8,3.5
U07,NFC07,0.22,-0.88,0.31,8.2,5.4,4.0,1820,1260,1800,0,0,1,0,0,0.26,-0.9400000000000001,0.22999999999999998,6.6,4.2,3.0
U07,NFC07,0.2,-0.85,0.35,9.0,6.0,4.5,1900,1200,1900,0,0,0,0,1,0.24000000000000005,-0.9099999999999999,0.27,7.4,4.8,3.5
U07,NFC07,0.18,-0.82,0.39,9.8,6.6,5.0,1980,1140,2000,0,0,0,0,2,0.22000000000000003,-0.8800000000000001,0.31,8.2,5.4,4.0
U07,NFC07,0.16,-0.79,0.43,10.6,7.2,5.5,2060,1080,2100,1,0,0,1,3,0.2,-0.85,0.35,9.0,6.0,4.5
